,Unemployment Rate,Unemployment Rate - 16-17 Yrs.,Unemployment Rate - 18-19 Yrs.,Unemployment Rate - 25-34 Yrs.,Unemployment Rate - 35-44 Yrs.,Unemployment Rate - 45-54 Yrs.
2019-01-01,4.0,14.9,12.0,3.9,2.9,2.9
2019-02-01,3.8,17.1,11.9,4.0,2.6,2.8
2019-03-01,3.8,13.2,12.4,3.9,2.9,2.9
2019-04-01,3.7,14.8,12.4,3.8,2.7,2.5
2019-05-01,3.6,14.2,12.2,3.5,2.6,2.6
2019-06-01,3.6,14.1,11.6,3.5,2.7,2.8
2019-07-01,3.7,15.2,11.2,3.7,2.7,2.8
2019-08-01,3.6,12.7,12.3,3.6,2.7,2.8
2019-09-01,3.5,12.0,12.1,3.5,2.5,2.8
2019-10-01,3.6,13.7,11.1,3.8,2.7,2.6
2019-11-01,3.6,12.5,11.8,3.7,2.8,2.5
2019-12-01,3.6,13.6,12.1,3.7,2.9,2.6
2020-01-01,3.6,11.5,12.8,3.7,2.8,2.4
2020-02-01,3.5,10.1,11.7,3.7,2.8,2.4
2020-03-01,4.4,16.9,12.9,4.2,3.5,3.2
2020-04-01,14.8,29.9,34.7,14.6,11.6,12.2
2020-05-01,13.2,31.3,30.0,13.4,10.1,10.7
2020-06-01,11.0,23.3,22.1,11.6,9.0,8.4
2020-07-01,10.2,18.0,19.5,11.3,8.0,7.8
2020-08-01,8.4,14.5,17.6,9.5,6.4,6.3
2020-09-01,7.8,16.7,15.7,8.6,6.2,6.4
2020-10-01,6.9,13.7,13.7,7.4,5.8,5.9
2020-11-01,6.7,14.4,13.4,7.0,5.6,5.4
2020-12-01,6.7,13.9,17.0,6.6,5.5,5.3
2021-01-01,6.4,15.5,14.5,6.7,5.5,4.9
2021-02-01,6.2,14.6,13.4,6.4,5.6,4.9
2021-03-01,6.1,12.3,13.3,6.7,5.1,4.5
2021-04-01,6.1,11.0,13.0,6.5,5.0,4.8
2021-05-01,5.8,9.1,10.2,5.8,5.0,4.7
2021-06-01,5.9,11.4,10.3,6.5,5.3,4.7
2021-07-01,5.4,11.4,9.5,6.1,4.6,3.9
2021-08-01,5.1,11.4,11.2,5.6,4.3,4.0
2021-09-01,4.7,10.5,11.6,5.2,3.9,3.9
2021-10-01,4.5,9.5,12.3,4.7,3.8,3.7
2021-11-01,4.1,10.1,11.4,4.1,3.8,3.0
2021-12-01,3.9,10.7,11.4,4.2,3.3,2.8
2022-01-01,4.0,11.3,10.9,4.3,3.5,2.6
2022-02-01,3.9,10.2,10.1,4.1,3.3,2.4
2022-03-01,3.7,8.9,11.1,4.0,2.8,2.2
2022-04-01,3.7,9.0,12.3,4.0,2.9,2.1
2022-05-01,3.6,10.4,10.7,4.0,2.9,2.3
2022-06-01,3.6,11.3,10.2,3.5,3.2,2.4
2022-07-01,3.5,10.4,11.8,3.6,2.7,2.4
2022-08-01,3.6,9.6,10.7,3.8,2.9,2.7
2022-09-01,3.5,12.3,10.9,3.6,3.0,2.1
2022-10-01,3.6,9.3,11.5,3.9,2.9,2.8
2022-11-01,3.6,11.3,11.1,4.0,2.6,2.7
2022-12-01,3.5,8.3,12.3,3.8,2.4,2.3
2023-01-01,3.5,11.0,10.2,3.9,2.6,2.3
2023-02-01,3.6,9.0,12.1,3.8,2.6,2.6
2023-03-01,3.5,9.2,10.3,3.8,2.6,2.4
2023-04-01,3.4,9.6,9.7,3.9,3.0,2.4
2023-05-01,3.6,9.7,10.8,4.0,2.9,2.6
2023-06-01,3.6,11.4,10.4,4.0,2.9,2.4
2023-07-01,3.5,11.4,11.1,3.6,3.0,2.3
2023-08-01,3.7,11.8,12.7,3.9,2.9,2.5
2023-09-01,3.7,13.0,11.1,4.0,2.8,2.8
2023-10-01,3.9,14.6,12.5,4.2,2.9,2.4
2023-11-01,3.7,11.3,11.3,3.9,2.8,2.6
2023-12-01,3.8,13.1,11.3,4.2,3.0,2.7
2024-01-01,3.7,10.2,10.9,4.0,3.0,2.8
2024-02-01,3.9,12.4,12.5,4.3,2.9,2.6
2024-03-01,3.9,14.1,11.7,4.1,2.7,2.9
2024-04-01,3.9,12.6,11.5,3.9,3.0,2.8
2024-05-01,3.9,13.6,11.6,4.1,3.3,2.5
2024-06-01,4.1,12.7,11.6,4.5,3.3,2.7
2024-07-01,4.2,11.5,13.3,4.8,3.1,2.9
2024-08-01,4.2,15.1,13.9,4.5,3.4,2.7
2024-09-01,4.1,14.8,14.3,4.1,3.4,2.7
2024-10-01,4.1,11.8,14.7,4.1,3.6,2.8
2024-11-01,4.2,14.3,12.2,4.4,3.6,2.8
2024-12-01,4.1,13.3,11.8,4.5,3.4,2.5
2025-01-01,4.0,13.5,10.8,4.2,3.1,2.6
2025-02-01,4.2,16.0,11.2,4.4,3.3,2.8
2025-03-01,4.2,15.4,12.9,4.0,3.2,3.2
2025-04-01,4.2,14.5,12.1,4.2,3.2,3.0
2025-05-01,4.3,14.6,12.8,4.1,3.3,3.2
2025-06-01,4.1,14.0,15.1,3.8,3.3,2.9
2025-07-01,4.3,14.9,15.7,4.3,3.4,2.9
2025-08-01,4.3,15.4,13.1,4.4,3.4,2.9
2025-09-01,4.4,14.8,12.6,4.8,3.3,2.8
2025-10-01,,,,,,
2025-11-01,4.5,17.2,15.6,4.9,3.4,3.2
2025-12-01,4.4,18.0,14.4,4.3,3.5,3.1
