,Unemployment Rate,"Unemployment Rate - Less Than a High School Diploma, 25 Yrs. & over","Unemployment Rate - High School Graduates, No College, 25 Yrs. & over","Unemployment Rate - Bachelor's Degree and Higher, 25 Yrs. & over","Unemployment Rate - Some College or Associate Degree, 25 Yrs. & over",,,,,
1/1/2019,4,5.7,3.8,2.4,3.5,,,,,
2/1/2019,3.8,5.3,3.8,2.2,3.2,,,Jan-20,Dec-25,% Change
3/1/2019,3.8,5.9,3.7,2.1,3.4,,Less than high school,5.7,5.6,-1.754385965
4/1/2019,3.7,5.3,3.4,2.1,3.1,,High School,3.9,4,2.564102564
5/1/2019,3.6,5.1,3.5,2.1,2.7,,Bachelors and higher,1.9,2.8,47.36842105
6/1/2019,3.6,5.2,3.8,2.1,3,,som college or associate,2.9,3.8,31.03448276
7/1/2019,3.7,4.9,3.6,2.2,3.1,,,,,
8/1/2019,3.6,5.4,3.6,2.1,3,,,,,
9/1/2019,3.5,4.9,3.5,2,2.9,,,,,
10/1/2019,3.6,5.6,3.7,2.1,2.8,,,,,
11/1/2019,3.6,5.5,3.6,1.9,3,,,,,
12/1/2019,3.6,5.4,3.7,2,2.8,,,,,
1/1/2020,3.6,5.7,3.9,1.9,2.9,,,,,
2/1/2020,3.5,5.7,3.7,1.9,3.1,,,,,
3/1/2020,4.4,7.2,4.4,2.5,3.8,,,,,
4/1/2020,14.8,21.2,17.7,8.4,15.5,,,,,
5/1/2020,13.2,19.7,15.9,7.4,13.7,,,,,
6/1/2020,11,16.4,12.3,6.8,10.8,,,,,
7/1/2020,10.2,14.9,10.7,6.7,9.6,,,,,
8/1/2020,8.4,12.4,9.9,5.3,7.8,,,,,
9/1/2020,7.8,10.5,9.1,4.8,8.2,,,,,
10/1/2020,6.9,9.8,8.2,4.2,6.6,,,,,
11/1/2020,6.7,9.4,7.7,4.2,6.4,,,,,
12/1/2020,6.7,9.9,7.9,3.9,6.4,,,,,
1/1/2021,6.4,9.1,7,4,6.1,,,,,
2/1/2021,6.2,10.2,7.2,3.8,5.7,,,,,
3/1/2021,6.1,8.5,6.7,3.7,5.9,,,,,
4/1/2021,6.1,9.4,7.1,3.5,5.9,,,,,
5/1/2021,5.8,9.1,6.9,3.1,5.9,,,,,
6/1/2021,5.9,10.3,7,3.4,5.8,,,,,
7/1/2021,5.4,9.3,6.1,3.1,5,,,,,
8/1/2021,5.1,7.6,6,2.8,5,,,,,
9/1/2021,4.7,7.5,5.7,2.5,4.5,,,,,
10/1/2021,4.5,7.1,5.3,2.4,4.3,,,,,
11/1/2021,4.1,5.6,5,2.3,3.7,,,,,
12/1/2021,3.9,5.4,4.6,2.1,3.5,,,,,
1/1/2022,4,6.4,4.5,2.3,3.5,,,,,
2/1/2022,3.9,4.4,4.5,2.1,3.7,,,,,
3/1/2022,3.7,5.5,4,1.9,3.1,,,,,
4/1/2022,3.7,5.4,3.9,2,3.1,,,,,
5/1/2022,3.6,5.2,3.7,1.9,3.4,,,,,
6/1/2022,3.6,5.7,3.7,2.1,3.1,,,,,
7/1/2022,3.5,5.8,3.5,2,2.9,,,,,
8/1/2022,3.6,6,4.4,1.9,3,,,,,
9/1/2022,3.5,5.5,3.7,1.8,2.9,,,,,
10/1/2022,3.6,6.2,4,1.9,3,,,,,
11/1/2022,3.6,4.3,3.9,2,3.2,,,,,
12/1/2022,3.5,5.1,3.6,1.9,2.9,,,,,
1/1/2023,3.5,4.6,3.7,2.1,2.9,,,,,
2/1/2023,3.6,5.8,3.6,2,3.3,,,,,
3/1/2023,3.5,5,4.1,2,2.9,,,,,
4/1/2023,3.4,5.4,4,2,2.8,,,,,
5/1/2023,3.6,5.8,3.9,2.1,3.2,,,,,
6/1/2023,3.6,6.1,3.9,1.9,3.1,,,,,
7/1/2023,3.5,5.3,3.3,2,3.2,,,,,
8/1/2023,3.7,5.2,3.9,2.2,3.1,,,,,
9/1/2023,3.7,5.3,4.1,2.2,3,,,,,
10/1/2023,3.9,5.7,4.1,2.1,3.1,,,,,
11/1/2023,3.7,6.3,4,2.1,2.8,,,,,
12/1/2023,3.8,6.1,4.2,2.1,3.1,,,,,
1/1/2024,3.7,6.1,4.3,2.2,3.2,,,,,
2/1/2024,3.9,6.2,4.2,2.3,3.2,,,,,
3/1/2024,3.9,5,4.2,2.1,3.4,,,,,
4/1/2024,3.9,6,4.1,2.2,3.3,,,,,
5/1/2024,3.9,6,4.3,2.1,3.1,,,,,
6/1/2024,4.1,6,4.2,2.4,3.5,,,,,
7/1/2024,4.2,6.8,4.6,2.3,3.6,,,,,
8/1/2024,4.2,7,4,2.5,3.5,,,,,
9/1/2024,4.1,6.7,4,2.3,3.4,,,,,
10/1/2024,4.1,6.5,4,2.5,3.4,,,,,
11/1/2024,4.2,5.9,4.5,2.4,3.6,,,,,
12/1/2024,4.1,5.7,4.4,2.5,3.4,,,,,
1/1/2025,4,5.2,4.4,2.3,3.5,,,,,
2/1/2025,4.2,6,4.3,2.5,3.5,,,,,
3/1/2025,4.2,5.8,4.2,2.6,3.5,,,,,
4/1/2025,4.2,6.2,4,2.5,3.6,,,,,
5/1/2025,4.3,5.6,4.4,2.6,3.3,,,,,
6/1/2025,4.1,5.8,4,2.5,3.2,,,,,
