,Wages,CPI,WAGES_IDX,CPI_IDX,Real Wages
2019-01-01,27.59,252.561,100.0,100.0,100.0
2019-02-01,27.69,253.319,100.36245016310257,100.30012551423219,100.06213815640892
2019-03-01,27.77,254.277,100.65241029358462,100.67943981849929,99.97315288507426
2019-04-01,27.79,255.233,100.72490032620513,101.05796223486603,99.6704248717317
2019-05-01,27.88,255.296,101.05110547299745,101.08290670372702,99.96853945759318
2019-06-01,27.96,255.213,101.34106560347954,101.05004335586254,100.2879981422592
2019-07-01,28.03,255.802,101.59478071765133,101.28325434251526,100.30757934977342
2019-08-01,28.14,256.036,101.99347589706416,101.37590522685609,100.60918880953625
2019-09-01,28.16,256.43,102.06596592968467,101.5319071432248,100.52600094047924
2019-10-01,28.23,257.155,102.31968104385646,101.81896650710125,100.49176941578983
2019-11-01,28.34,257.879,102.71837622326929,102.10562992702754,100.60011019635222
2019-12-01,28.38,258.63,102.86335628851033,102.4029838336085,100.449569375488
2020-01-01,28.43,259.127,103.04458137006161,102.5997679768452,100.43354229935177
2020-02-01,28.54,259.25,103.44327654947445,102.64846908271666,100.77430036108703
2020-03-01,28.74,258.076,104.16817687567959,102.1836308852119,101.94213688951514
2020-04-01,30.04,256.032,108.88002899601305,101.37432145105538,107.4039534248143
2020-05-01,29.72,255.802,107.7201884740848,101.28325434251526,106.3553784614793
2020-06-01,29.38,257.042,106.48785791953605,101.77422484073153,104.63146055514643
2020-07-01,29.39,258.352,106.52410293584633,102.29291141546003,104.13634870866215
2020-08-01,29.5,259.316,106.92279811525916,102.67460138342814,104.13753418527192
2020-09-01,29.51,259.997,106.95904313156942,102.94423921349693,103.89997920111504
2020-10-01,29.55,260.319,107.10402319681045,103.07173316545311,103.91212013955816
2020-11-01,29.64,260.911,107.43022834360276,103.30613198395635,103.99211187220416
2020-12-01,29.91,262.045,108.4088437839797,103.75513242345413,104.48528304270526
2021-01-01,29.92,262.639,108.44508880028995,103.99032312985774,104.28382712578875
2021-02-01,30.07,263.573,108.98876404494382,104.36013477932062,104.43524653873904
2021-03-01,30.04,264.847,108.88002899601305,104.86456737184282,103.82918818511087
2021-04-01,30.23,266.625,109.56868430590794,105.56855571525294,103.78912884007283
2021-05-01,30.41,268.404,110.22109459949256,106.27294000261323,103.71510809504494
2021-06-01,30.55,270.71,110.72852482783617,107.18598675171542,103.30503845089997
2021-07-01,30.66,271.965,111.127220007249,107.6828964091843,103.19858000937923
2021-08-01,30.79,272.752,111.59840521928234,107.99450429797157,103.33711511038295
2021-09-01,30.96,273.942,112.21457049655672,108.46567759867914,103.4562941760696
2021-10-01,31.15,276.528,112.9032258064516,109.48958865383017,103.11777329204719
2021-11-01,31.25,278.824,113.2656759695542,110.39867596343062,102.5969514408608
2021-12-01,31.41,280.806,113.84559623051831,111.18343687267628,102.39438484069407
2022-01-01,31.62,282.542,114.60674157303372,111.87079557017907,102.44563023701599
2022-02-01,31.66,284.525,114.75172163827474,112.65595242337494,101.86032710195698
2022-03-01,31.82,287.467,115.33164189923886,113.82081952478806,101.32736908832551
2022-04-01,31.96,288.582,115.83907212758247,114.26229702923254,101.37996096643019
2022-05-01,32.1,291.299,116.34650235592608,115.33807674185641,100.87432150990922
2022-06-01,32.2,295.072,116.70895251902864,116.83197326586448,99.89470284255502
2022-07-01,32.35,294.94,117.25262776368251,116.77970866444144,100.4049668428271
