,Unemployment Rate,Unemployment Rate - White,Unemployment Rate - Black or African American,Unemployment Rate - Hispanic or Latino,Unemployment Rate - Asian
2019-01-01,4.0,3.5,7.0,4.8,3.0
2019-02-01,3.8,3.2,7.2,4.2,3.2
2019-03-01,3.8,3.3,6.7,4.7,3.0
2019-04-01,3.7,3.2,6.7,4.2,2.3
2019-05-01,3.6,3.2,6.1,4.2,2.6
2019-06-01,3.6,3.3,5.8,4.3,2.0
2019-07-01,3.7,3.4,5.7,4.5,2.8
2019-08-01,3.6,3.4,5.3,4.1,2.8
2019-09-01,3.5,3.2,5.3,3.9,2.5
2019-10-01,3.6,3.2,5.5,4.1,2.9
2019-11-01,3.6,3.2,5.5,4.3,2.6
2019-12-01,3.6,3.2,6.0,4.2,2.6
2020-01-01,3.6,3.1,6.4,4.3,3.0
2020-02-01,3.5,3.0,6.1,4.4,2.5
2020-03-01,4.4,3.9,7.0,6.1,4.2
2020-04-01,14.8,14.2,16.9,18.9,14.5
2020-05-01,13.2,12.3,16.8,17.6,15.0
2020-06-01,11.0,10.0,15.3,14.5,13.6
2020-07-01,10.2,9.2,14.3,12.8,12.0
2020-08-01,8.4,7.3,12.8,10.4,10.5
2020-09-01,7.8,7.0,12.0,10.2,8.9
2020-10-01,6.9,6.0,10.9,8.8,7.5
2020-11-01,6.7,6.0,10.3,8.5,6.7
2020-12-01,6.7,6.1,10.0,9.3,6.0
2021-01-01,6.4,5.8,9.4,8.5,6.6
2021-02-01,6.2,5.6,10.0,8.5,5.1
2021-03-01,6.1,5.4,9.8,8.0,6.0
2021-04-01,6.1,5.3,10.3,7.9,5.8
2021-05-01,5.8,5.0,9.1,7.3,5.7
2021-06-01,5.9,5.3,9.1,7.3,5.5
2021-07-01,5.4,4.8,8.0,6.4,5.2
2021-08-01,5.1,4.5,8.6,6.0,4.4
2021-09-01,4.7,4.2,7.7,6.2,4.1
2021-10-01,4.5,3.9,7.6,5.6,4.1
2021-11-01,4.1,3.7,6.3,5.0,3.8
2021-12-01,3.9,3.3,7.0,4.7,3.8
2022-01-01,4.0,3.4,7.0,4.7,3.6
2022-02-01,3.9,3.3,6.7,4.4,3.0
2022-03-01,3.7,3.2,6.3,4.2,2.8
2022-04-01,3.7,3.2,6.1,4.2,3.2
2022-05-01,3.6,3.2,6.2,4.4,2.5
2022-06-01,3.6,3.3,5.8,4.4,2.9
2022-07-01,3.5,3.1,5.9,4.0,2.6
2022-08-01,3.6,3.1,6.3,4.4,2.7
2022-09-01,3.5,3.0,5.8,3.9,2.4
2022-10-01,3.6,3.2,5.8,4.2,2.9
2022-11-01,3.6,3.2,5.6,4.0,2.6
2022-12-01,3.5,3.1,5.8,4.2,2.5
2023-01-01,3.5,3.1,5.4,4.6,2.9
2023-02-01,3.6,3.2,5.8,5.5,3.4
2023-03-01,3.5,3.3,5.1,4.7,2.9
2023-04-01,3.4,3.1,4.8,4.4,2.9
2023-05-01,3.6,3.3,5.7,4.1,3.0
2023-06-01,3.6,3.1,6.0,4.3,3.1
2023-07-01,3.5,3.1,5.7,4.4,2.3
2023-08-01,3.7,3.4,5.3,4.8,3.1
2023-09-01,3.7,3.4,5.7,4.6,2.7
2023-10-01,3.9,3.5,5.8,4.8,3.0
2023-11-01,3.7,3.3,5.7,4.5,3.5
2023-12-01,3.8,3.5,5.2,5.0,3.1
2024-01-01,3.7,3.4,5.3,5.0,2.9
2024-02-01,3.9,3.4,5.7,5.1,3.5
2024-03-01,3.9,3.4,6.5,4.5,2.6
2024-04-01,3.9,3.5,5.6,4.8,2.9
2024-05-01,3.9,3.5,6.2,5.0,3.1
2024-06-01,4.1,3.5,6.3,5.0,4.1
2024-07-01,4.2,3.8,6.2,5.3,3.6
2024-08-01,4.2,3.8,6.1,5.4,4.1
2024-09-01,4.1,3.6,5.7,5.1,4.0
2024-10-01,4.1,3.8,5.7,5.1,3.9
2024-11-01,4.2,3.8,6.3,5.3,3.8
2024-12-01,4.1,3.6,6.1,5.1,3.5
2025-01-01,4.0,3.5,6.2,4.8,3.7
2025-02-01,4.2,3.8,6.0,5.2,3.2
2025-03-01,4.2,3.7,6.2,5.1,3.5
2025-04-01,4.2,3.8,6.4,5.2,3.1
2025-05-01,4.3,3.8,6.1,5.1,3.6
2025-06-01,4.1,3.6,6.9,4.8,3.6
2025-07-01,4.3,3.7,7.2,5.0,3.9
2025-08-01,4.3,3.7,7.6,5.3,3.6
2025-09-01,4.4,3.7,7.6,5.5,4.3
2025-10-01,,,,,
2025-11-01,4.5,3.9,8.2,5.0,3.6
2025-12-01,4.4,3.8,7.5,4.9,3.6
